Date,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
5/18/2009,5.1,14.3,0.0,1.8,8.9,30.0,7.0,6.0,65.0,47.0,1023.1,1022.2,1.0,1.0,9.1,13.3,No,0.0,No
7/3/2009,1.1,14.5,0.4,,,50.0,7.0,24.0,99.0,46.0,1001.5,1002.4,,,1.3,13.7,No,0.0,No
2/18/2010,19.7,26.2,0.0,7.2,7.2,41.0,19.0,31.0,48.0,50.0,1020.9,1021.9,6.0,4.0,22.7,24.4,No,0.2,No
3/4/2010,16.6,28.0,0.0,9.0,11.3,54.0,28.0,33.0,50.0,41.0,1018.3,1014.9,6.0,1.0,20.0,26.1,No,0.0,No
9/9/2010,14.6,25.3,0.0,,,43.0,6.0,28.0,64.0,67.0,1020.3,1015.0,,,22.2,22.6,No,0.4,No
9/28/2011,15.7,27.3,0.0,11.2,5.6,65.0,11.0,13.0,60.0,86.0,1002.0,995.5,8.0,7.0,18.1,18.5,No,5.6,Yes
10/13/2011,9.8,23.9,0.0,4.4,10.5,35.0,15.0,13.0,53.0,29.0,1017.8,1013.9,3.0,4.0,15.5,23.0,No,0.2,No
4/8/2010,18.7,27.6,3.0,,,41.0,6.0,20.0,78.0,64.0,1013.2,1011.0,,,22.4,24.0,Yes,0.2,No
10/19/2009,23.6,30.1,0.0,11.4,10.8,57.0,33.0,41.0,53.0,48.0,1020.9,1018.0,4.0,2.0,27.4,27.9,No,0.0,No
2/23/2010,8.5,22.9,1.4,4.2,12.5,41.0,19.0,19.0,62.0,41.0,1023.1,1022.1,1.0,2.0,16.4,22.1,Yes,0.0,No
4/20/2009,8.7,20.9,0.0,2.8,9.5,19.0,2.0,11.0,95.0,44.0,1024.2,1020.8,5.0,2.0,11.5,20.0,No,0.0,No
3/3/2009,16.4,28.0,1.0,5.0,1.7,65.0,15.0,37.0,39.0,96.0,1003.9,1008.5,8.0,8.0,26.1,16.4,No,12.6,Yes
2/16/2009,12.9,21.7,1.4,18.0,,24.0,11.0,2.0,77.0,58.0,1025.9,1024.2,,,15.2,19.8,Yes,0.0,No
10/10/2011,12.1,20.9,0.0,4.4,6.9,37.0,13.0,30.0,72.0,57.0,1010.1,1006.4,5.0,6.0,15.5,18.3,No,0.0,No
12/14/2009,13.2,19.8,0.0,4.6,11.3,37.0,15.0,20.0,57.0,51.0,1022.4,1021.9,6.0,2.0,14.9,18.9,No,0.0,No
11/22/2009,10.7,18.0,6.0,,,33.0,6.0,15.0,93.0,87.0,1001.5,1000.1,,,14.7,15.9,Yes,6.0,Yes
10/25/2008,26.3,33.6,0.0,,10.9,35.0,9.0,24.0,65.0,53.0,1013.3,1008.7,4.0,4.0,30.3,32.5,No,0.0,No
10/14/2010,,,0.0,,,,,,,,,,,,,,No,0.0,No
11/12/2011,11.0,23.1,0.0,5.0,12.5,35.0,6.0,13.0,68.0,49.0,1019.9,1017.2,1.0,1.0,17.0,22.4,No,0.0,No
9/3/2011,9.0,21.5,0.0,7.0,9.1,46.0,19.0,17.0,49.0,42.0,1022.9,1018.6,4.0,7.0,15.9,20.6,No,0.4,No
5/8/2011,11.5,23.4,0.0,,,41.0,7.0,7.0,65.0,52.0,1019.1,1015.4,,,15.3,22.4,No,,
11/5/2010,13.8,19.2,18.6,,,61.0,31.0,22.0,75.0,83.0,1022.7,1021.4,,,15.9,15.6,Yes,10.8,Yes
5/3/2010,24.9,33.2,0.0,7.2,8.0,48.0,31.0,22.0,66.0,55.0,1011.9,1008.6,4.0,7.0,27.9,32.2,No,0.0,No
10/31/2010,14.4,21.1,4.4,,,57.0,13.0,37.0,74.0,67.0,1005.0,1005.8,,,21.0,17.4,Yes,3.0,Yes
11/22/2011,20.3,30.0,0.0,7.0,,57.0,28.0,35.0,54.0,60.0,,1008.4,6.0,3.0,25.6,27.1,No,0.0,No
12/4/2010,18.8,33.7,0.0,8.0,13.5,52.0,19.0,9.0,63.0,32.0,1009.2,1007.3,4.0,5.0,25.8,32.4,No,49.2,Yes
10/15/2011,4.3,14.3,0.0,,,57.0,9.0,17.0,84.0,81.0,,,,,10.0,12.1,No,0.0,No
8/3/2011,,,,,,,,,,,,,,,,,,,
9/22/2010,4.0,16.0,0.0,2.0,6.9,46.0,17.0,31.0,69.0,50.0,1026.9,1024.1,4.0,4.0,13.1,15.2,No,0.0,No
11/30/2010,14.3,38.2,0.0,12.0,13.0,48.0,28.0,28.0,11.0,17.0,1009.8,1006.5,2.0,1.0,32.3,31.8,No,0.0,No
11/18/2011,16.3,37.2,0.0,9.6,9.6,56.0,22.0,30.0,23.0,14.0,1011.7,1008.1,6.0,7.0,30.5,36.0,No,1.0,No
4/23/2010,8.1,22.4,0.0,,9.5,33.0,7.0,17.0,89.0,39.0,1022.6,1019.7,3.0,,12.0,21.7,No,0.0,No
6/25/2011,0.1,6.6,0.0,,,35.0,9.0,11.0,79.0,78.0,,,,,2.9,4.6,No,0.0,No
4/25/2010,12.5,20.0,4.2,,9.9,33.0,9.0,15.0,76.0,52.0,1021.8,1022.3,,,16.2,19.7,Yes,0.0,No
6/26/2009,6.9,13.7,4.4,,,46.0,7.0,9.0,99.0,73.0,1011.6,1008.1,7.0,,8.4,13.0,Yes,0.0,No
6/15/2010,14.2,16.4,11.6,0.6,0.0,72.0,11.0,35.0,94.0,93.0,1011.3,1009.6,8.0,8.0,14.4,13.0,Yes,5.8,Yes
12/22/2009,15.1,36.6,0.0,,,39.0,11.0,19.0,44.0,10.0,1010.9,1007.3,,,23.1,35.9,No,0.0,No
10/14/2011,13.9,18.0,0.0,,,15.0,4.0,11.0,88.0,85.0,1021.0,1017.3,,,14.6,16.6,No,0.0,No
9/7/2011,11.0,14.9,0.2,,,39.0,20.0,17.0,68.0,68.0,1036.8,1035.7,,,12.5,14.3,No,0.0,No
5/23/2009,12.8,26.4,0.0,5.8,10.7,20.0,4.0,11.0,61.0,48.0,1013.1,1009.2,1.0,1.0,21.1,25.5,No,0.0,No
2/27/2010,9.1,,0.0,,,,24.0,22.0,89.0,65.0,,,,,12.0,17.7,No,,
2/4/2009,17.8,25.1,0.0,1.8,1.6,39.0,26.0,24.0,93.0,69.0,1011.3,1009.0,8.0,7.0,19.6,24.1,No,0.0,No
